Date,Price
12/29/1978,226.0
1/1/1979,226.0
1/2/1979,226.8
1/3/1979,218.6
1/4/1979,223.2
1/5/1979,225.5
1/8/1979,223.1
1/9/1979,224.0
1/10/1979,220.7
1/11/1979,220.7
1/12/1979,217.6
1/15/1979,216.9
1/16/1979,220.7
1/17/1979,227.3
1/18/1979,231.8
1/19/1979,230.6
1/22/1979,235.0
1/23/1979,230.0
1/24/1979,236.1
1/25/1979,233.9
1/26/1979,235.5
1/29/1979,235.2
1/30/1979,233.5
1/31/1979,233.7
2/1/1979,229.4
2/2/1979,230.3
2/5/1979,243.1
2/6/1979,244.5
2/7/1979,251.6
2/8/1979,250.5
2/9/1979,246.8
2/12/1979,244.3
2/13/1979,240.6
2/14/1979,240.7
2/15/1979,247.8
2/16/1979,247.1
2/19/1979,248.1
2/20/1979,247.0
2/21/1979,250.8
2/22/1979,252.4
2/23/1979,251.0
2/26/1979,248.6
2/27/1979,247.9
2/28/1979,251.3
3/1/1979,248.8
3/2/1979,248.0
3/5/1979,238.2
3/6/1979,239.8
3/7/1979,242.3
3/8/1979,239.2
3/9/1979,241.0
3/12/1979,240.0
3/13/1979,239.1
3/14/1979,239.5
3/15/1979,240.1
3/16/1979,244.0
3/19/1979,242.3
3/20/1979,242.1
3/21/1979,239.9
3/22/1979,242.9
3/23/1979,242.5
3/26/1979,245.3
3/27/1979,244.4
3/28/1979,244.4
3/29/1979,241.5
3/30/1979,240.1
4/2/1979,239.7
4/3/1979,240.0
4/4/1979,239.8
4/5/1979,240.7
4/6/1979,239.8
4/9/1979,240.2
4/10/1979,239.8
4/11/1979,238.4
4/12/1979,234.0
4/13/1979,234.0
4/16/1979,234.0
4/17/1979,231.9
4/18/1979,233.2
4/19/1979,240.9
4/20/1979,236.4
4/23/1979,236.9
4/24/1979,239.7
4/25/1979,241.8
4/26/1979,242.2
4/27/1979,243.7
4/30/1979,245.3
5/1/1979,247.3
5/2/1979,246.3
5/3/1979,246.5
5/4/1979,248.5
5/7/1979,248.5
5/8/1979,249.0
5/9/1979,248.0
5/10/1979,252.3
5/11/1979,251.5
5/14/1979,251.0
5/15/1979,255.5
5/16/1979,256.5
5/17/1979,256.8
5/18/1979,256.4
5/21/1979,262.0
5/22/1979,265.4
5/23/1979,264.2
5/24/1979,263.8
5/25/1979,270.6
5/28/1979,270.6
5/29/1979,273.8
5/30/1979,270.3
5/31/1979,274.6
6/1/1979,275.1
6/4/1979,272.9
6/5/1979,274.8
6/6/1979,280.0
6/7/1979,276.1
6/8/1979,280.0
6/11/1979,282.4
6/12/1979,277.8
6/13/1979,276.6
6/14/1979,279.0
6/15/1979,280.0
6/18/1979,278.0
6/19/1979,280.3
6/20/1979,281.4
6/21/1979,282.3
6/22/1979,283.5
6/25/1979,283.9
6/26/1979,281.5
6/27/1979,281.8
6/28/1979,275.9
6/29/1979,277.5
7/2/1979,282.5
7/3/1979,281.4
7/4/1979,283.5
7/5/1979,288.3
7/6/1979,290.3
7/9/1979,287.9
7/10/1979,290.5
7/11/1979,290.3
7/12/1979,290.8
7/13/1979,287.5
7/16/1979,292.8
